CODIGO;DESCRICAO;UNIDADE
06.02.11.357-0;CALÇA ELETRICISTA ESPECIAL;UN
06.02.11.351-2;CAMISA ML ELETRICISTA ESPECIAL;UN
06.02.11.355-4;CALÇA ELETRICISTA GG;UN
06.02.11.350-4;CAMISA ML ELETRICISTA EG;UN
06.02.11.353-8;CALÇA ELETRICISTA M;UN
06.02.11.348-1;CAMISA ML ELETRICISTA G;UN
06.02.11.349-9;CAMISA ML ELETRICISTA GG;UN
08.01.07.145-0;CD DANÇA DO TEMPO;UN
08.01.07.140-0;CD GAROTO;UN
08.05.01.556-1;BOLSA VALO VELHO E JARDIM;UN
08.06.01.181-1;CANECA PISCINA 24 DE MAIO;UN
08.03.04.119-2;LAPIS GRAFISMO GRU;UN
08.05.01.553-7;BOLSA SACO TRIPÉ 24 DE MAIO;UN
08.05.01.563-4;NECESSAIRE NYLON GRAFISMO GRU;UN
06.02.14.762-6;MOLETOM UNISSEX JUVENTUDES M;UN
06.02.14.752-9;MOLETOM UNISSEX INSTRUTOR CURUMIM G;UN
08.12.01.015-8;BICHO DE PANO PEIXE BICHOS LUDICOS;UN
08.12.01.013-2;BICHO DE PANO TUCANO MONICA NADOR;UN
08.12.01.014-0;BICHO DE PANO MACACO LILAS MONICA NADOR;UN
06.02.14.782-0;CALÇA UNISSEX INFANTO PP;UN
06.02.14.785-4;CALÇA UNISSEX INFANTO G;UN
08.05.01.564-2;MINI BOLSA UNISSEX VISTA AEREA RC GRU;UN
08.05.01.562-6;SACOLA LONA GRAFISMO GRU;UN
06.02.14.787-0;CALÇA UNISSEX INFANTO XG;UN
06.02.14.786-2;CALÇA UNISSEX INFANTO GG;UN
06.02.14.791-9;CALÇA UNISSEX INFANTO PLUS SIZE G;UN
06.02.14.789-6;CALÇA UNISSEX INFANTO PLUS SIZE P;UN
06.02.14.790-1;CALÇA UNISSEX INFANTO PLUS SIZE M;UN
06.02.14.788-8;CALÇA UNISSEX INFANTO XXG;UN
06.02.14.783-8;CALÇA UNISSEX INFANTO P;UN
06.02.14.634-5;BERMUDA UNISSEX INFANTO P;UN
06.02.14.633-7;BERMUDA UNISSEX INFANTO PP;UN
06.02.14.635-3;BERMUDA UNISSEX INFANTO M;UN
06.02.14.641-8;BERMUDA UNISSEX INFANTO PLUS SIZE M;UN
06.02.14.640-0;BERMUDA UNISSEX INFANTO PLUS SIZE P;UN
06.02.14.642-6;BERMUDA UNISSEX INFANTO PLUS SIZE G;UN
06.02.14.638-7;BERMUDA UNISSEX INFANTO XG;UN
06.02.14.639-5;BERMUDA UNISSEX INFANTO XXG;UN
06.02.14.636-1;BERMUDA UNISSEX INFANTO G;UN
06.02.14.784-6;CALÇA UNISSEX INFANTO M;UN
08.04.02.531-9;CAMISETA BASICA TEATRO VILA MARIANA G;UN
08.04.09.111-6;CAMISETA INFANTIL TUCANO M NADOR 4;UN
08.04.09.110-8;CAMISETA INFANTIL TUCANO M NADOR 2;UN
08.04.06.307-4;CAMISETA FEMININA CORUJA M NADOR GG;UN
08.04.02.529-6;CAMISETA BASICA TEATRO VILA MARIANA P;UN
08.04.06.305-8;CAMISETA FEMININA CORUJA M NADOR M;UN
08.04.02.530-1;CAMISETA BASICA TEATRO VILA MARIANA M;UN
08.04.09.113-2;CAMISETA INFANTIL TUCANO M NADOR 8;UN
08.04.02.532-7;CAMISETA BASICA TEATRO VILA MARIANA GG;UN
08.04.09.114-0;CAMISETA INFANTIL TUCANO M NADOR 10;UN
08.04.02.496-5;CAMISETA MASCULINA VERDE QUATI G;UN
08.04.02.497-3;CAMISETA MASCULINA VERDE QUATI  GG;UN
08.04.02.495-7;CAMISETA MASCULINA VERDE QUATI  M;UN
08.04.02.494-9;CAMISETA MASCULINA VERDE QUATI  P;UN
08.03.01.057-3;CADERNO RETANGULAR JUIZO FINAL NAIFS;UN
08.05.01.559-5;BOLSA MINI UNISSEX BARCO E JARDIM;UN
08.05.03.060-0;BONÉ ADULTO JEANS LINA;UN
06.02.14.603-6;CALÇA BERMUDA MASC AMBIENTAL 46;UN
06.02.14.613-3;CALÇA BERMUDA FEM AMBIENTAL 44;UN
08.04.06.361-8;CAMISETA FEMININA OURICO M NADOR P;UN
08.04.06.363-4;CAMISETA FEMININA OURICO M NADOR G;UN
08.04.06.364-2;CAMISETA FEMININA OURICO M NADOR GG;UN
08.04.06.362-6;CAMISETA FEMININA OURICO M NADOR M;UN
08.05.01.556-1;BOLSA VALO VELHO E JARDIM;UN
08.01.07.146-8;CD O ROMANTISMO DE HENRIQUE OSWALD;UN
08.03.04.127-3;LAPIS PISCINA ILUSTRACAO BERTIOGA;UN
08.03.04.122-3;LAPIS TRONO DE SANGUE ANTUNES;UN
08.03.04.120-7;LAPIS SAPO M NADOR;UN
08.03.04.121-5;LAPIS FLOR M NADOR;UN
08.03.04.123-1;LAPIS ARVORES MATUCK;UN
08.03.04.124-9;LAPIS ESCADA LINA;UN
08.03.04.125-7;LAPIS CAIXA D´AGUA LINA;UN
08.03.04.126-5;LAPIS PALMEIRA ILUSTRACAO BERTIOGA;UN
08.03.04.128-1;LAPIS JACARE B LUDICOS;UN
08.03.04.129-9;LAPIS COELHO B LUDICOS;UN
08.03.04.130-4;LAPIS CAPIVARA B LUDICOS;UN
08.01.03.459-7;"LIVRO PÓS-FOTOGRAFIA, PÓS-CINEMA";UN
08.05.01.404-4;SACOLA INSTITUCIONAL TNT;UN
08.06.03.019-0;AVENTAL RAMPA 24 DE MAIO;UN
08.04.02.491-5;CAMISETA BASICA CINZA PASSARO M NADOR P;UN
08.04.02.492-3;CAMISETA BASICA CINZA PASSARO M NADOR M;UN
08.04.02.493-1;CAMISETA BASICA CINZA PASSARO M NADOR GG;UN
08.04.02.498-1;CAMISETA BASICA CINZA PASSARO M NADOR G;UN
08.05.01.549-8;BOLSA SACO LONA MANDACARU LINA;UN
08.01.03.460-2;LIVRO BEAUVOIR PRESENTE;UN
08.01.03.462-8;LIVRO ENCONTROS COM SHAKESPEARE;UN
53.01.02.012-9;SACO PARA PIPOCA 50G LOGO COMEDORIA;MIL
08.04.09.108-5;CAMISETA INFANTIL SAPO M NADOR 8;UN
08.04.09.106-9;CAMISETA INFANTIL SAPO M NADOR 4;UN
08.04.09.109-3;CAMISETA INFANTIL SAPO M NADOR 10;UN
08.01.03.464-4;LIVRO PRAZERES E PECADOS DO SEXO NA HIST;UN
06.02.14.621-4;JAQUETA UNISSEX AMBIENTAL PP;UN
06.02.14.622-2;JAQUETA UNISSEX AMBIENTAL P;UN
06.02.14.623-0;JAQUETA UNISSEX AMBIENTAL M;UN
06.02.14.624-8;JAQUETA UNISSEX AMBIENTAL G;UN
06.02.14.625-6;JAQUETA UNISSEX AMBIENTAL GG;UN
06.02.14.626-4;JAQUETA UNISSEX AMBIENTAL XG;UN
06.02.09.445-9;CALCA MASC CINZA COZINHEIRO P;UN
06.02.09.450-6;CALCA MASC CINZA COZINHEIRO M;UN
06.02.09.452-2;CALCA MASC CINZA COZINHEIRO G;UN
06.02.09.454-8;CALCA MASC CINZA COZINHEIRO GG;UN
06.02.09.500-7;CALCA FEM CINZA COZINHEIRA P;UN
06.02.09.502-3;CALCA FEM CINZA COZINHEIRA M;UN
06.02.09.503-1;CALCA FEM CINZA COZINHEIRA G;UN
06.02.09.504-9;CALCA FEM CINZA COZINHEIRA GG;UN
03.02.01.209-8;SABONETE LIQUIDO PEROLADO;GL
03.02.01.585-0;ALCOOL EM GEL GALAO C/ 05L;GL
03.02.02.021-1;PAPEL HIGIENICO EM ROLO COM 50 METROS;FD
03.02.02.037-6;PAPEL HIGIENICO EM ROLO FS 300M;CX
03.02.02.044-9;PAPEL HIGIENICO INTERFOLHADO;CX
03.02.02.059-6;PAPEL HIGIENICO INTERFOLHADO;CX
03.02.03.002-0;PAPEL TOALHA BOBINA;CX
03.02.03.002-0;PAPEL TOALHA BOBINA;CX
03.02.03.002-0;PAPEL TOALHA BOBINA;CX
03.02.03.055-9;PAPEL TOALHA INTERFOLHA FOLHA DUPLA;CX
03.02.04.026-1;SACO DE LIXO 50L TRANSPARENTE;PCT
03.02.04.109-7;SACO DE LIXO 15L CINZA;PCT
03.02.04.203-5;SACO DE LIXO 200L CINZA;PCT
03.02.04.204-3;SACO DE LIXO 100L CINZA;PCT
03.02.04.205-1;SACO DE LIXO 50L CINZA;PCT
03.02.04.206-9;SACO DE LIXO 30L CINZA;PCT
03.02.06.002-5;DISPENSER PARA PAPEL HIGIÊNICO EM ROLO;UN
04.01.01.001-0;ECO - COFRE PREVISESC;UN
04.01.01.005-2;BLOCO EDUCACAO CORPORATIVA SESC;UN
04.01.01.006-0;PASTA EDUCACAO CORPORATIVA SESC;UN
04.01.01.647-2;SENHA PARA ATENDIMENTO PUBLICO RL 1000;RL
04.01.01.648-0;INGRESSOS PADRONIZADOS SESC SP;RL
04.01.01.706-2;PORTA CD;UN
04.01.01.976-3;PORTA-UNIFORME (SECRETARIAS);UN
04.01.05.739-7;CARTAO DE MATRICULA;MIL
04.01.05.739-7;CARTAO DE MATRICULA;MIL
04.01.05.911-1;PORTA CREDENCIAIS PLENA;MIL
04.01.05.912-9;PORTA CREDENCIAIS MIS;MIL
04.01.05.913-7;PORTA CREDENCIAIS ATIVIDADES;MIL
04.01.07.019-1;CAIXA DE PAPELAO EXTRA GRANDE - UMA ONDA;UN
04.01.07.020-6;CAIXA DE PAPELAO GRANDE - UMA ONDA;UN
04.01.07.021-4;CAIXA DE PAPELAO MEDIA - UMA ONDA;UN
04.01.09.026-4;TONER HP PRETO 26X CF 226X LASERJET M402;UN
04.01.09.027-2;TONER HP PRETO 87X CF 287X LASERJET M506;UN
04.01.09.028-0;TONER HP PRETO 81X CF 281X LASERJET M605;UN
04.01.09.029-8;TONER 650A - CE271A - CIANO;UN
04.01.09.030-3;TONER 650A - CE272A - AMARELO;UN
04.01.09.032-9;TONER 650A - CE273A - MAGENTA;UN
04.01.09.045-0;TONER HP 2055 CE505 X;UN
04.01.09.050-7;FITA RIBBON PRETA IMPRESSORA ZEBRA;UN
04.01.09.052-3;FITA RIBBON MISTO (CERA/RESINA) DATAMAX;UN
04.01.09.056-5;TONER HP 55 CE 255 X;UN
04.01.09.068-8;TONER HP CC 364X;UN
04.01.09.082-4;CARTUCHO HP 954XL PRETO LOS71AB;UN
04.01.09.083-2;CARTUCHO HP 954XL CIANO LOS62AB;UN
04.01.09.084-0;CARTUCHO HP 954XL MAGENTA LOS65AB;UN
04.01.09.085-8;CARTUCHO HP 954XL AMARELO LOS68AB;UN
04.01.09.104-0;CARTAO DE LIMPEZA LONGO SMART CH;UN
04.01.09.113-9;TONER P/LASER JET HP MOD.Q5942X;UN
04.01.09.114-7;TONER P/LASER JET HP MOD.Q5949X;UN
04.01.09.127-8;TONER P/ FAX LASER BROTHER TN-350;UN
04.01.09.128-6;CILINDRO P/ FAX LASER BROTHER DR-350;UN
04.01.09.129-4;CARTUCHO DE TINTA EPSON T0484 YELLOW;UN
04.01.09.130-9;CARTUCHO DE TINTA EPSON T0483 MAGENTA;UN
04.01.09.131-7;CARTUCHO DE TINTA EPSON T0481 BLACK;UN
04.01.09.132-5;CARTUCHO DE TINTA EPSON T0485 LIGHT CYAN;UN
04.01.09.133-3;CARTUCHO DE TINTA EPSON T0486 LIGHT MAGE;UN
04.01.09.134-1;CARTUCHO DE TINTA EPSON T0482 CYAN;UN
04.01.09.146-4;TONER MINOLTA TN622K - PRETO;UN
04.01.09.147-2;TONER MINOLTA TN622C - AZUL;UN
04.01.09.148-0;TONER MINOLTA TN622M - MAGENTA;UN
04.01.09.149-8;TONER MINOLTA TN622Y - AMARELO;UN
04.01.09.150-3;TONER HP Q7553X;UN
04.01.09.152-9;TONER P/LASER Q 7551X;UN
04.01.09.156-1;CARTUCHO EPSON PRETO 82;UN
04.01.09.157-9;CARTUCHO EPSON CIANO 82;UN
04.01.09.158-7;CARTUCHO EPSON MAGENTA 82;UN
04.01.09.159-5;CARTUCHO EPSON AMARELO 82;UN
04.01.09.160-0;CARTUCHO EPSON CIANO CLARO 82;UN
04.01.09.161-8;CARTUCHO EPSON MAGENTA CLARO 82;UN
04.01.09.166-8;CARTUCHO HP 74XL CB336 WB PRETO 18 ML;UN
04.01.09.167-6;CARTUCHO HP 75XL CB338 WB TRICOLOR 12 ML;UN
04.01.09.170-7;FITA RIBBON COLORIDA P IMPRESSORA ZEBRA;UN
04.01.09.178-1;CARTUCHO 940 XL PRETO C4906 AB HP;UN
04.01.09.179-9;CARTUCHO 940 XL CIANO C4907 AB HP;UN
04.01.09.180-4;CARTUCHO 940 XL MAGENTA C4908 AB HP;UN
04.01.09.181-2;CARTUCHO 940 XL AMARELO C4909AB HP;UN
04.01.09.182-0;CARTUCHO DE TINTA 88 XL C9396 AL HP PRET;UN
04.01.09.183-8;CARTUCHO DE TINTA 88 XL C9391 AL HP CYAN;UN
04.01.09.184-6;CARTUCHO DE TINTA 88 XL C9392 AL HP MAGE;UN
04.01.09.185-4;CARTUCHO DE TINTA 88 XL C9393 AL HP AMAR;UN
04.01.09.186-2;TONER 650A - CE270A - PRETO;UN
04.01.09.188-8;TONER HP 823A PRETO CB 380A;UN
04.01.09.189-6;TONER HP 824A CIANO CB 381A;UN
04.01.09.190-1;TONER HP 824A AMARELO CB 382A;UN
04.01.09.191-9;TONER HP 824A MAGENTA CB 383A;UN
04.01.09.192-7;CARTAO DE LIMPEZA CURTO SMART CH;UN
04.01.09.196-9;CABECA DE IMP 940 PTO/AMARELO C4900AL HP;UN
04.01.09.197-7;CABECA DE IMP 940 CIANO/MAGEN C4901AL HP;UN
04.01.09.210-1;CILINDRO HP CP 6015 CB 387A HP 824A MAGE;UN
04.01.09.211-9;CILINDRO HP CP 6015 CB 385A HP 824A CIAN;UN
04.01.09.212-7;CILINDRO HP CP 6015 CB 386A HP 824A AMAR;UN
04.01.09.213-5;CILINDRO HP CP 6015 CB 384A HP 824A PRET;UN
04.01.09.216-9;FITA RIBBON COLORIDA FARGO DTC1000 COD 4;UN
04.01.09.216-9;FITA RIBBON COLORIDA FARGO DTC1000 COD 4;UN
04.01.09.220-8;FITA RIBBON SMART CH YMCKO 250;UN
04.01.09.228-2;TONER HP PRETO 80X CF280X LASERJET PRO 4;UN
04.01.09.232-1;CARTUCHO 950 XL CN045AL HP PRETO ALTO RE;UN
04.01.09.233-9;CARTUCHO 951 XL CN047AL HP MAGENTA DE;UN
04.01.09.234-7;CARTUCHO 951 XL CN046AL HP CIANO DE ALTO;UN
04.01.09.235-5;CARTUCHO 951 XL CN048AL HP AMARELO DE;UN
04.01.09.240-2;KIT DE LIMPEZA IMPRESSORA FARGO DTC 1000;UN
04.01.09.248-6;TONER LASER JET PRETO HP 90X CE390X;UN
04.01.09.249-4;CARTUCHO EPSON CIANO PP 100 PJC 1(C);UN
04.01.09.250-9;CARTUCHO EPSON CIANO CLARO PP 100 PJC 2;UN
04.01.09.251-7;CARTUCHO EPSON MAGENTA PP 100 PJIC 4 (M);UN
04.01.09.252-5;CARTUCHO EPSON MAGENTA CLARO PP 100 PJIC;UN
04.01.09.259-1;CARTUCHO 933 XL CN056AL HP AMARELO;UN
04.01.09.260-6;CARTUCHO 933 XL CN054AL HP CIANO;UN
04.01.09.261-4;CARTUCHO 933 XL CN055AL HP MAGENTA;UN
04.01.09.262-2;CARTUCHO 932 XL CN053AL HP PRETO;UN
04.01.09.265-6;FITA RIBBON COLORIDA IMPRES IITA P/400;UN
04.01.09.267-2;FITA RIBBON MISTO (CERA/RESINA) IMPR TSC;UN
04.01.09.296-5;FITA RIBBON COLORIDA YMCKO 200 IMPRESSAO;UN
05.01.01.001-1;MONITORAMENTO TEMP RESFRIAM / CONGELADO;BC
05.01.01.002-9;CARTILHA PREVISESC;UN
05.01.01.010-0;LIVRETO CIDADANIA PORTUGUES;UN
05.01.01.012-6;KIT TRABALHO SOCIAL C/ IDOSOS- PORTUGUES;KIT
05.01.01.012-6;KIT TRABALHO SOCIAL C/ IDOSOS- PORTUGUES;KIT
05.01.01.017-6;CARTILHA EDUCADOR HIGIENE SAUDE BUCAL;UN
05.01.01.018-4;LIVRETO INFANTIL SORRISO SAUDÁVEL;UN
05.01.01.024-9;ENVELOPE 26 X 36;PCT
05.01.01.074-4;ENVELOPE 19X25;PCT
05.01.01.081-7;PASTA INSTITUCIONAL "SESC";UN
05.01.01.186-3;SESC SÃO PAULO BRASIL QUADRILÍNGUE;UN
05.01.01.227-5;BRASILEIRO QUE NEM EU - QUILOMBOS;UN
05.01.01.227-5;BRASILEIRO QUE NEM EU - QUILOMBOS;UN
05.01.01.250-0;FILIPETA SESC AA 10X21 - MIN. 1000 PECAS;UN
05.01.01.314-0;CATALOGO INSTITUCIONAL SESC TV;UN
05.01.01.374-2;PASTA PROCESSO DE COMPRAS LICITAÇÃO;UN
05.01.01.488-7;BRASILEIRO QUE NEM EU - PAQUETA;UN
05.01.01.560-5;KIT TRABALHO SOCIAL C/IDOSOS - INGLES;KIT
05.01.01.563-9;MANUAL - COLECAO VESTUARIO SESC S.P;UN
05.01.01.565-5;LIVRETO ITINERANCIA GENESIS;UN
05.01.01.600-9;BRASILEIRO QUE NEM EU - TURISMO;UN
05.01.01.621-1;BRASILEIRO QUE NEM EU - ILHA DIANA;UN
05.01.01.654-6;LIVRO " GINASTICA HOLISTICA";UN
05.01.01.739-8;TAGS;UN
05.01.01.753-4;FOLHETO SORRISO SAUDAVEL SESC;UN
05.01.01.753-4;FOLHETO SORRISO SAUDAVEL SESC;UN
05.01.01.772-0;GUIA DE SAÚDE BUCAL SESC;UN
05.01.01.820-5;FILIPETA HIGIENE BUCAL;UN
05.01.01.822-1;CADERNO DE INTEGRACAO;UN
05.01.01.831-0;GUIA SAÚDE BUCAL E SORRISO SAUDÁVEL SESC;KIT
05.01.01.833-6;FOLHETO SORRISO SAUDAVEL MOD.3;UN
05.01.01.835-2;FILIPETA SORRISO SAUDAVEL;UN
05.01.01.857-2;BRASILEIRO QUE NEM EU - PARAIBUNA;UN
05.01.01.857-2;BRASILEIRO QUE NEM EU - PARAIBUNA;UN
05.01.01.858-0;BRASILEIRO QUE NEM EU - MAMANGUA;UN
05.01.01.925-1;PASTA DL/IL;UN
05.01.01.934-0;TAG TURISMO SOCIAL;UN
05.01.01.935-8;FORMULARIO OPINARIO PASSEIOS;UN
05.01.01.936-6;FORMULARIO OPINARIO VIAGENS;UN
05.01.01.937-4;FORMULARIO OPINARIO VIAGENS HOTEIS-AZUL;UN
05.01.01.976-4;LIVRETO CIDADANIA INGLES;UN
05.01.02.001-6;ENVELOPE PLASTICO P/CORRESPONDENCIA;UN
05.01.02.001-6;ENVELOPE PLASTICO P/CORRESPONDENCIA;UN
05.01.02.005-8;ENVELOPE PLASTICO DE SEGURANCA;MIL
05.01.02.005-8;ENVELOPE PLASTICO DE SEGURANCA;MIL
05.01.07.001-1;ETIQUETA IDENTIFICAÇAO DESCONGELAMENTO;RL
05.01.07.002-9;ETIQUETA IDENTIFICAÇAO PROD. MANIPULADO;RL
05.01.07.003-7;ETIQUETAS DE IDENTIFICAÇAO DE AMOSTRAS;RL
05.01.07.003-7;ETIQUETAS DE IDENTIFICAÇAO DE AMOSTRAS;RL
05.01.07.004-5;ETIQUETA ABERTURA DE EMBALAGENS;RL
05.01.07.004-5;ETIQUETA ABERTURA DE EMBALAGENS;RL
05.01.07.005-3;ETIQUETA DE IDENTIFICAÇAO DO PRODUTO;RL
05.01.07.006-1;ETIQUETA PROD. IMPROPRIO CONSUMO HUMANO;RL
06.01.01.055-9;CAMISETA INSTITUCIONAL CRU PP;UN
06.01.01.131-9;AVENTAL DE PEITO UNISSEX MESA BRASIL M;UN
06.01.01.196-1;CAMISETA INSTITUCIONAL CRU EX;UN
06.01.01.196-1;CAMISETA INSTITUCIONAL CRU EX;UN
06.01.01.226-8;CAMISETA INSTITUCIONAL CRU P;UN
06.01.01.227-6;CAMISETA INSTITUCIONAL CRU M;UN
06.01.01.228-4;CAMISETA INSTITUCIONAL CRU G;UN
06.01.01.229-2;CAMISETA INSTITUCIONAL CRU GG;UN
06.01.01.230-7;CAMISETA INSTITUCIONAL CRU EG;UN
06.01.01.231-5;CAMISETA INSTITUCIONAL CRU EGG;UN
06.01.01.231-5;CAMISETA INSTITUCIONAL CRU EGG;UN
06.01.01.232-3;AVENTAL DE PEITO UNISSEX MESA BRASIL EG;UN
06.01.02.072-4;CHINELO GUARDIÃO 35/36;PAR
06.01.02.106-3;CHINELO GUARDIÃO 37/38;PAR
06.01.02.107-1;CHINELO GUARDIÃO 39/40;PAR
06.01.02.108-9;CHINELO GUARDIÃO 41/42;PAR
06.01.02.109-7;CHINELO GUARDIÃO 43/44;PAR
06.01.02.110-2;CHINELO GUARDIÃO 45/46;PAR
06.01.03.014-3;PROTETOR SAPATO TNT DESCARTAVEL- PROPE;PCT
06.02.02.100-8;COLETE CURUMIM C/ ZIPER AZUL/LARANJA "P";UN
06.02.02.101-6;COLETE CURUMIM C/ ZIPER AZUL/LARANJA "M";UN
06.02.02.102-4;COLETE CURUMIM C/ ZIPER AZUL/LARANJA "G";UN
06.02.02.103-2;COLETE CURUMIM AZUL/LARANJA NOVO P;UN
06.02.02.104-0;COLETE CURUMIM AZUL/LARANJA NOVO M;UN
06.02.02.105-8;COLETE CURUMIM AZUL/LARANJA NOVO G;UN
06.02.02.152-9;CAMISETA CURUMIM AZUL INFANTIL P;UN
06.02.02.158-7;CAMISETA CURUMIM AZUL INFANTIL M;UN
06.02.02.178-1;CAMISETA CURUMIM AZUL INFANTIL G;UN
06.02.02.264-8;COLETE CURUMIM AZUL/LARANJA NOVO GG;UN
06.02.02.317-3;CAMISETA CURUMIM VERDE INFANTIL P;UN
06.02.02.318-1;CAMISETA CURUMIM VERDE INFANTIL TAM M;UN
06.02.02.373-3;CAMISETA CURUMIM VERDE INFANTIL TAM G;UN
06.02.05.072-2;JAQUETA NYLON ATD.PUBL.UNISEX VERDE T:PP;UN
06.02.05.073-0;JAQUETA NYLON ATD.PUBL.UNISEX VERDE T:P;UN
06.02.05.074-8;JAQUETA NYLON ATD.PUBL.UNISEX VERDE T:M;UN
06.02.05.075-6;JAQUETA NYLON ATD.PUBL.UNISEX VERDE T:G;UN
06.02.05.076-4;JAQUETA NYLON ATD.PUBL.UNISEX VERDE T:GG;UN
06.02.05.077-2;JAQUETA NYLON ATD.PUBL.UNISEX VERDE T:EG;UN
06.02.05.255-4;CAMISETA EVENTOS MASC PP;UN
06.02.05.258-8;CAMISETA FEMININA A. PUBLICO GESTANTE EG;UN
06.02.05.447-5;JAQUETA WORK ATEND PUBL FEM PP;UN
06.02.05.448-3;JAQUETA WORK ATEND PUBL FEM P;UN
06.02.05.449-1;JAQUETA WORK ATEND PUBL FEM M;UN
06.02.05.450-6;JAQUETA WORK ATEND PUBL FEM G;UN
06.02.05.451-4;JAQUETA WORK ATEND PUBL FEM GG;UN
06.02.05.452-2;JAQUETA WORK ATEND PUBL FEM EG;UN
06.02.05.453-0;JAQUETA WORK ATEND PUBL FEM EGG;UN
06.02.05.454-8;JAQUETA WORK ATEND PUBL FEM EX;UN
06.02.05.455-6;JAQUETA WORK ATEND PUBL FEM EXG;UN
06.02.05.456-4;JAQUETA WORK ATEND PUBL FEM EXGG;UN
06.02.05.457-2;JAQUETA WORK ATEND PUBL MASC PP;UN
06.02.05.458-0;JAQUETA WORK ATEND PUBL MASC P;UN
06.02.05.459-8;JAQUETA WORK ATEND PUBL MASC M;UN
